	Params	Ants_porcent	Number_Iterations	Strategy_Pheromone_Method	Bests_Results	Number_times_got_best_solution
76	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.3	1	15	EAS	2150.3	0
77	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.8	1	15	EAS	2141.2	0
78	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.3	1	15	EAS	2153.6	0
79	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.8	1	15	EAS	2154.7	0
80	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.3	1	15	EAS	2179.7	0
82	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.3	1	15	EAS	2171.5	0
83	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.8	1	15	EAS	2174.6	0
84	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.3	1	15	EAS	2153.8	0
85	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.8	1	15	EAS	2153.1	0
86	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.3	1	15	EAS	2154.9	0
87	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.8	1	15	EAS	2149.5	0
89	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.8	1	15	EAS	2143.2	0
91	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.8	1	15	EAS	2138.8	0
92	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.3	1	15	EAS	2151.4	0
93	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:5 Rho:0.2 W:5 Zeta:0.8	1	15	EAS	2133.9	0
95	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:10000 Alpha:1 Beta:5 Rho:0.5 W:5 Zeta:0.8	1	15	EAS	2152.1	0
96	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.3	2	15	EAS	2157.7	0
97	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.8	2	15	EAS	2160.6	0
99	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.8	2	15	EAS	2166.1	0
100	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.3	2	15	EAS	2148.4	0
